"Name","VMHost","MemoryGB","PowerState","myStatus"
"Temporary Edge Gateway-0","bz1upvcdesx011m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
"Temporary Edge Gateway-1","bz1upvcdesx012m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
