"Name","Status","CapacityGB","FreeGB","PercentFree"
"sg8-002-0018-n-002","mystack-normal","10239.75","5,278.24","51.55"
"sg8-002-0018-n-001","mystack-normal","10239.75","5,893.31","57.55"
