"Name","VMHost","MemoryGB","PowerState","myStatus"
"Temporary Edge Gateway-0","sg8upvcdesx012m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
"Temporary Edge Gateway-1","sg8upvcdesx013m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
