"Name","VMHost","MemoryGB","PowerState","myStatus"
"Temporary_edge_gateway-0","lo1upvcdesx014m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
"Temporary_edge_gateway-1","lo1upvcdesx017m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
