#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"lo1upvcdesx014m.dcsutil.dcsroot.local","vmk3","172.20.85.114","255.255.255.0","00:50:56:6b:9d:22","dvPortGroup-Fault-Tolerance","False","1500",,
"lo1upvcdesx014m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:62:c9:57","vmservice-vmknic-pg","False","1500",,
"lo1upvcdesx014m.dcsutil.dcsroot.local","vmk4","172.20.114.114","255.255.255.0","00:50:56:6f:14:a7","vxw-vmknicPg-dvs-56-0-f120948f-8a58-4d6d-83a9-478c4418a3d9","False","9000",,
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:14:a0:df",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:14:b0:9f",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:14:a0:ef",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:14:b0:ff",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:14:a0:cf",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:14:b0:ef",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:14:a0:ff",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:14:b0:8f",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:14:a0:bf",,,,"True","40000"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmk0","10.162.36.111","255.255.255.0","00:25:b5:14:a0:df","Management Network","False","1500",,
