"Name","Status","CapacityGB","FreeGB","PercentFree"
"nj2-002-3475-n-001","mystack-normal","10239.75","2,171.92","21.21"
"nj2-002-3475-n-006","mystack-normal","10239.75","2,388.44","23.33"
"nj2-002-3475-n-002","mystack-normal","10239.75","2,398.99","23.43"
"nj2-002-3475-n-007","mystack-normal","10239.75","2,562.63","25.03"
"nj2-002-3475-n-004","mystack-normal","10239.75","2,638.29","25.77"
"nj2-002-3475-n-005","mystack-normal","10239.75","2,644.46","25.83"
"nj2-002-3475-n-003","mystack-normal","10239.75","2,676.87","26.14"
