#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"nj2upvcdesx018m.dcsutil.dcsroot.local","vmk3","172.20.67.58","255.255.255.0","00:50:56:6b:49:11","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx018m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6c:38:63","vmservice-vmknic-pg","False","1500",,
"nj2upvcdesx018m.dcsutil.dcsroot.local","vmk4","172.20.99.37","255.255.255.0","00:50:56:63:9c:2a","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a1:c9",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b1:a9",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a1:b9",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:05:b1:99",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:05:a1:a9",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:05:b1:89",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:05:a1:e9",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:05:b1:c9",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:05:a1:d9",,,,"True","40000"
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmk0","10.160.19.68","255.255.255.0","00:25:b5:05:a1:c9","Management Network","False","1500",,
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmk2","172.20.66.113","255.255.255.0","00:50:56:6a:24:f0","dvPortGroup-vMotion","True","1500",,
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmk3","172.20.67.59","255.255.255.0","00:50:56:6f:cd:9a","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:63:8c:2b","vmservice-vmknic-pg","False","1500",,
"nj2upvcdesx019m.dcsutil.dcsroot.local","vmk4","172.20.99.38","255.255.255.0","00:50:56:65:a4:17","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a1:f8",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b1:d8",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a1:e8",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:05:b1:c8",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:05:a1:d8",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:05:b1:b8",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:05:a1:98",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:05:b1:f8",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:05:a1:88",,,,"True","40000"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmk0","10.160.19.70","255.255.255.0","00:25:b5:05:a1:f8","Management Network","False","1500",,
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmk2","172.20.66.114","255.255.255.0","00:50:56:65:c7:b1","dvPortGroup-vMotion","True","1500",,
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmk3","172.20.67.59","255.255.255.0","00:50:56:62:fc:69","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6f:21:7c","vmservice-vmknic-pg","False","1500",,
