"Name","VMHost","MemoryGB","NumCpu","PowerState","myStatus"
"lo1upds9dsva11","lo1upvcdesx011m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"lo1upds9dsva12","lo1upvcdesx012m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"lo1upds9dsva13","lo1upvcdesx013m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"lo1upds9dsva14","lo1upvcdesx014m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"lo1upds9dsva15","lo1upvcdesx015m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"LO1UPDS9DSVA16","lo1upvcdesx016m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"lo1upds9dsva17","lo1upvcdesx017m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
