"Name","Status","CapacityGB","FreeGB","PercentFree"
"lo1-002-0333-n-001","mystack-normal","10239.75","1,834.68","17.92"
"lo1-002-0333-n-003","mystack-normal","10239.75","2,005.42","19.58"
"lo1-002-0333-n-004","mystack-normal","10239.75","2,078.26","20.30"
"lo1-002-0333-n-002","mystack-normal","10239.75","2,136.85","20.87"
"lo1-002-0333-n-000","mystack-normal","10239.75","2,167.90","21.17"
"lo1-002-0333-n-005","mystack-normal","10239.75","2,168.94","21.18"
"lo1-002-0333-n-007","mystack-normal","10239.75","2,189.14","21.38"
"lo1-002-0333-n-006","mystack-normal","10239.75","2,337.39","22.83"
