"Name","VMHost","MemoryGB","PowerState","myStatus"
"temporary external router-0","nj2upvcdesx012m.dcsutil.dcsroot.local","8","PoweredOn","mystack-normal"
"temporary external router-1","nj2upvcdesx014m.dcsutil.dcsroot.local","8","PoweredOn","mystack-normal"
