#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"icdupvcdesx016m.dcsutil.dcsroot.local","vmk3","172.20.64.116","255.255.255.0","00:50:56:6a:6c:2e","dvPortGroup-Fault-Tollerance","False","1500",,
"icdupvcdesx016m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:69:40:3c","vmservice-vmknic-pg","False","1500",,
"icdupvcdesx016m.dcsutil.dcsroot.local","vmk4","172.20.113.116","255.255.255.0","00:50:56:6f:de:4d","vxw-vmknicPg-dvs-55-0-d6261319-fbda-42c3-a4e4-72d3dc528b18","False","9000",,
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a0:be",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b0:ae",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a0:de",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b0:be",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a1:1d",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:02:b1:1d",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:02:a0:fe",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:02:b0:ee",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:02:a0:ee",,,,"True","40000"
"icdupvcdesx020m.dcsutil.dcsroot.local","vmk0","10.25.200.120","255.255.255.0","00:25:b5:02:a0:be","Management Network","False","1500",,
"icdupvcdesx020m.dcsutil.dcsroot.local","vmk2","172.20.63.120","255.255.255.0","00:50:56:61:b2:3c","dvPortGroup-vMotion","True","1500",,
"icdupvcdesx020m.dcsutil.dcsroot.local","vmk3","172.20.64.120","255.255.255.0","00:50:56:69:89:a5","dvPortGroup-Fault-Tollerance","False","1500",,
"icdupvcdesx020m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:64:b5:1c","vmservice-vmknic-pg","False","1500",,
"icdupvcdesx020m.dcsutil.dcsroot.local","vmk1","172.20.113.120","255.255.255.0","00:50:56:62:17:f5","vxw-vmknicPg-dvs-55-0-d6261319-fbda-42c3-a4e4-72d3dc528b18","False","9000",,
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a1:5c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b1:5c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a1:7c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b1:7c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a1:2c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:02:b1:2c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:02:a1:6c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:02:b1:6c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:02:a1:4c",,,,"True","40000"
"icdupvcdesx021m.dcsutil.dcsroot.local","vmk0","10.25.200.121","255.255.255.0","00:25:b5:02:a1:5c","Management Network","False","1500",,
"icdupvcdesx021m.dcsutil.dcsroot.local","vmk2","172.20.63.121","255.255.255.0","00:50:56:63:fb:68","dvPortGroup-vMotion","True","1500",,
"icdupvcdesx021m.dcsutil.dcsroot.local","vmk3","172.20.64.121","255.255.255.0","00:50:56:67:ea:a1","dvPortGroup-Fault-Tollerance","False","1500",,
"icdupvcdesx021m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:65:6b:85","vmservice-vmknic-pg","False","1500",,
"icdupvcdesx021m.dcsutil.dcsroot.local","vmk1","172.20.113.121","255.255.255.0","00:50:56:64:9a:32","vxw-vmknicPg-dvs-55-0-d6261319-fbda-42c3-a4e4-72d3dc528b18","False","9000",,
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a1:1f",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b1:1f",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a1:3f",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b1:3f",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a1:6e",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:02:b1:6e",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:02:a1:2f",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:02:b1:2f",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:02:a1:0f",,,,"True","40000"
"icdupvcdesx017m.dcsutil.dcsroot.local","vmk0","10.25.200.117","255.255.255.0","00:25:b5:02:a1:1f","Management Network","False","1500",,
"icdupvcdesx017m.dcsutil.dcsroot.local","vmk2","172.20.63.117","255.255.255.0","00:50:56:6a:9b:14","dvPortGroup-vMotion","True","1500",,
"icdupvcdesx017m.dcsutil.dcsroot.local","vmk3","172.20.64.117","255.255.255.0","00:50:56:67:bb:c4","dvPortGroup-Fault-Tollerance","False","1500",,
"icdupvcdesx017m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:61:37:2e","vmservice-vmknic-pg","False","1500",,
"icdupvcdesx017m.dcsutil.dcsroot.local","vmk4","172.20.113.117","255.255.255.0","00:50:56:65:14:3e","vxw-vmknicPg-dvs-55-0-d6261319-fbda-42c3-a4e4-72d3dc528b18","False","9000",,
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a1:2e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b1:2e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a1:4e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b1:4e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a1:3e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:02:b1:3e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:02:a1:7e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:02:b1:7e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:02:a1:5e",,,,"True","40000"
"icdupvcdesx018m.dcsutil.dcsroot.local","vmk0","10.25.200.118","255.255.255.0","00:25:b5:02:a1:2e","Management Network","False","1500",,
"icdupvcdesx018m.dcsutil.dcsroot.local","vmk2","172.20.63.118","255.255.255.0","00:50:56:6b:8c:84","dvPortGroup-vMotion","True","1500",,
"icdupvcdesx018m.dcsutil.dcsroot.local","vmk3","172.20.64.118","255.255.255.0","00:50:56:63:a4:b7","dvPortGroup-Fault-Tollerance","False","1500",,
"icdupvcdesx018m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6f:fc:95","vmservice-vmknic-pg","False","1500",,
"icdupvcdesx018m.dcsutil.dcsroot.local","vmk4","172.20.113.118","255.255.255.0","00:50:56:67:2b:ba","vxw-vmknicPg-dvs-55-0-d6261319-fbda-42c3-a4e4-72d3dc528b18","False","9000",,
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a1:7d",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b1:7d",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a1:1e",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b1:1e",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a1:4d",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:02:b1:4d",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:02:a1:0e",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:02:b1:0e",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:02:a1:6d",,,,"True","40000"
"icdupvcdesx019m.dcsutil.dcsroot.local","vmk0","10.25.200.119","255.255.255.0","00:25:b5:02:a1:7d","Management Network","False","1500",,
"icdupvcdesx019m.dcsutil.dcsroot.local","vmk2","172.20.63.119","255.255.255.0","00:50:56:65:a0:25","dvPortGroup-vMotion","True","1500",,
"icdupvcdesx019m.dcsutil.dcsroot.local","vmk3","172.20.64.119","255.255.255.0","00:50:56:60:9b:a0","dvPortGroup-Fault-Tollerance","False","1500",,
"icdupvcdesx019m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6d:49:a8","vmservice-vmknic-pg","False","1500",,
"icdupvcdesx019m.dcsutil.dcsroot.local","vmk4","172.20.113.119","255.255.255.0","00:50:56:65:6d:20","vxw-vmknicPg-dvs-55-0-d6261319-fbda-42c3-a4e4-72d3dc528b18","False","9000",,
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a0:aa",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b0:9a",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a0:ba",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b0:aa",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a0:99",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:02:b0:f9",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:02:a0:ea",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:02:b0:ca",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:02:a0:ca",,,,"True","40000"
"icdupvcdesx011m.dcsutil.dcsroot.local","vmk0","10.25.200.111","255.255.255.0","00:25:b5:02:a0:aa","Management Network","False","1500",,
"icdupvcdesx011m.dcsutil.dcsroot.local","vmk2","172.20.63.111","255.255.255.0","00:50:56:6c:10:e5","dvPortGroup-vMotion","True","1500",,
"icdupvcdesx011m.dcsutil.dcsroot.local","vmk3","172.20.64.111","255.255.255.0","00:50:56:61:9c:34","dvPortGroup-Fault-Tollerance","False","1500",,
"icdupvcdesx011m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6f:9e:a8","vmservice-vmknic-pg","False","1500",,
"icdupvcdesx011m.dcsutil.dcsroot.local","vmk4","172.20.113.111","255.255.255.0","00:50:56:66:b2:15","vxw-vmknicPg-dvs-55-0-d6261319-fbda-42c3-a4e4-72d3dc528b18","False","9000",,
"icdupvcdesx012m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a0:d9",,,,"True","40000"
"icdupvcdesx012m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b0:b9",,,,"True","40000"
"icdupvcdesx012m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a0:f9",,,,"True","40000"
"icdupvcdesx012m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b0:d9",,,,"True","40000"
"icdupvcdesx012m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a0:c9",,,,"True","40000"
