"HostName","Status","ConnectionState","Max_Mem_%","Ave_Mem_%","Max_CPU_%","Ave_CPU_%"
"lo3upvcdesx011m.dcsutil.dcsroot.local","mystack-alarm","Connected","89.38","88.16","28.50","18.83"
"lo3upvcdesx012m.dcsutil.dcsroot.local","mystack-alarm","Connected","91.87","91.18","32.65","23.25"
"lo3upvcdesx013m.dcsutil.dcsroot.local","mystack-warn","Connected","73.75","73.03","32.27","23.93"
"lo3upvcdesx014m.dcsutil.dcsroot.local","mystack-alarm","Connected","81.43","80.72","40.49","28.30"
"lo3upvcdesx015m.dcsutil.dcsroot.local","mystack-alarm","Connected","82.90","82.08","24.54","16.70"
"lo3upvcdesx016m.dcsutil.dcsroot.local","mystack-alarm","Connected","95.31","95.11","20.21","15.83"
"lo3upvcdesx017m.dcsutil.dcsroot.local","mystack-warn","Connected","71.67","71.65","28.50","22.00"
"lo3upvcdesx018m.dcsutil.dcsroot.local","mystack-warn","Connected","80.06","79.98","26.72","18.46"
"lo3upvcdesx019m.dcsutil.dcsroot.local","mystack-warn","Connected","79.98","79.91","30.77","19.46"
