"Name","VMHost","MemoryGB","PowerState","myStatus"
"Temporary Edge Gateway-0","au1upvcdesx012m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
"Temporary Edge Gateway-1","au1upvcdesx011m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
