"HostName","Status","ConnectionState","Max_Mem_%","Ave_Mem_%","Max_CPU_%","Ave_CPU_%"
"sg8upvcdesx011m.dcsutil.dcsroot.local","mystack-alarm","Connected","92.01","92.00","19.37","14.14"
"sg8upvcdesx012m.dcsutil.dcsroot.local","mystack-warn","Connected","60.89","60.88","11.75","9.10"
"sg8upvcdesx013m.dcsutil.dcsroot.local","mystack-normal","Connected","50.00","49.79","12.70","9.22"
"sg8upvcdesx014m.dcsutil.dcsroot.local","mystack-normal","Connected","53.90","53.88","13.33","8.69"
"sg8upvcdesx015m.dcsutil.dcsroot.local","mystack-normal","Connected","17.40","17.39","1.45","0.96"
