"HostName","Status","ConnectionState","Max_Mem_%","Ave_Mem_%","Max_CPU_%","Ave_CPU_%"
"au1upvcdesx011m.dcsutil.dcsroot.local","mystack-warn","Connected","73.84","73.82","23.07","14.21"
"au1upvcdesx012m.dcsutil.dcsroot.local","mystack-normal","Connected","16.64","16.63","7.55","4.29"
"au1upvcdesx013m.dcsutil.dcsroot.local","mystack-normal","Connected","11.03","11.02","7.78","3.35"
