"Name","Status","CapacityGB","FreeGB","PercentFree"
"bj1-002-0020-n-006","mystack-normal","10239.75","4,152.51","40.55"
"bj1-002-0020-n-007","mystack-normal","10239.75","4,460.88","43.56"
