"Name","VMHost","MemoryGB","PowerState","myStatus"
"Temporary_edge_gateway-0","icdupvcdesx021m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
"Temporary_edge_gateway-1","icdupvcdesx011m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
