"HostName","Status","ConnectionState","Max_Mem_%","Ave_Mem_%","Max_CPU_%","Ave_CPU_%"
"bz1upvcdesx011m.dcsutil.dcsroot.local","mystack-normal","Connected","46.36","46.32","29.25","24.26"
"bz1upvcdesx012m.dcsutil.dcsroot.local","mystack-normal","Connected","33.18","33.05","12.26","6.86"
"bz1upvcdesx013m.dcsutil.dcsroot.local","mystack-normal","Connected","10.30","10.29","2.09","1.12"
