"Name","VMHost","MemoryGB","NumCpu","PowerState","myStatus"
"LO3UPDS9DSVA11","lo3upvcdesx011m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"LO3UPDS9DSVA12","lo3upvcdesx012m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"LO3UPDS9DSVA13","lo3upvcdesx013m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"LO3UPDS9DSVA14","lo3upvcdesx014m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"LO3UPDS9DSVA15","lo3upvcdesx015m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"LO3UPDS9DSVA16","lo3upvcdesx016m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"lo3upds9dsva17","lo3upvcdesx017m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"LO3UPDS9DSVA18","lo3upvcdesx018m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"LO3UPDS9DSVA19","lo3upvcdesx019m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
