"Name","VMHost","MemoryGB","PowerState","myStatus"
"Temporary Edge Gateway-0","sh1upvcdesx013m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
"Temporary Edge Gateway-1","sh1upvcdesx011m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
