"Name","VMHost","MemoryGB","PowerState","myStatus"
"Temporary Edge Gateway-0","lo3upvcdesx017m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
"Temporary Edge Gateway-1","lo3upvcdesx014m.dcsutil.dcsroot.local","1","PoweredOn","mystack-normal"
